Mes,Promedio de Consumo
2015-01,519610.87096774194
2015-02,566268.9642857143
2015-03,540147.9032258064
2015-04,519394.56666666665
2015-05,535307.2258064516
2015-06,551085.3666666667
2015-07,557704.4193548387
2015-08,542344.6774193548
2015-09,564156.9666666667
2015-10,550549.9677419355
2015-11,551321.5
2015-12,527367.0967741936
2016-01,554494.3548387097
2016-02,598248.0689655172
2016-03,518455.77419354836
2016-04,534082.3
2016-05,521208.5806451613
2016-06,541917.5666666667
2016-07,501667.9032258064
2016-08,560141.5483870967
2016-09,564808.1
2016-10,544134.0645161291
2016-11,567846.7
2016-12,526023.4838709678
2017-01,519169.12903225806
2017-02,539058.6428571428
2017-03,502867.5806451613
2017-04,491091.5
2017-05,535858.1935483871
2017-06,532750.1
2017-07,531589.3225806452
2017-08,536738.3225806452
2017-09,552334.9
2017-10,523526.51612903224
2017-11,510145.2
2017-12,478325.67741935485
2018-01,526483.6451612903
2018-02,548158.9642857143
2018-03,499413.8387096774
2018-04,522950.26666666666
2018-05,536232.4516129033
2018-06,549621.3
2018-07,549546.3225806452
2018-08,556315.8709677419
2018-09,553542.9333333333
2018-10,565504.5806451613
2018-11,543962.4666666667
2018-12,496531.32258064515
2019-01,555283.4838709678
2019-02,572493.8571428572
2019-03,554148.5806451613
2019-04,530756.4666666667
2019-05,589209.6129032258
2019-06,563600.2666666667
2019-07,589277.0645161291
2019-08,577367.0645161291
2019-09,586166.6333333333
2019-10,590246.0322580645
2019-11,567274.6333333333
2019-12,523387.77419354836
2020-01,548627.0
2020-02,582866.551724138
2020-03,581320.4193548387
2020-04,540795.1333333333
2020-05,549332.2580645161
2020-06,561549.9333333333
2020-07,579278.2580645161
2020-08,552913.8387096775
2020-09,572653.9
2020-10,585819.9354838709
2020-11,558826.4
2020-12,519834.29032258067
2021-01,524023.29032258067
2021-02,584311.75
2021-03,558183.8387096775
2021-04,559333.8666666667
2021-05,519879.93548387097
2021-06,605845.7666666667
2021-07,620173.9677419355
2021-08,604869.0967741936
2021-09,618390.1333333333
2021-10,603697.4516129033
2021-11,614370.1666666666
2021-12,600427.6129032258
2022-01,596175.6451612903
2022-02,613305.3214285715
2022-03,596762.3548387097
2022-04,570232.1333333333
2022-05,609764.8064516129
2022-06,585589.0666666667
2022-07,575314.9677419355
2022-08,587893.2258064516
2022-09,574628.0333333333
2022-10,552460.6774193548
2022-11,574711.9666666667
2022-12,524872.2258064516
