Year-Month,Precio
2019-04,8757.506666666666
2019-05,8666.914193548388
2019-06,8701.494
2019-07,8807.057741935483
2019-08,8844.309032258065
2019-09,8914.255666666666
2019-10,8537.657096774194
2019-11,8642.606666666667
2019-12,8512.193870967742
2020-01,9066.256666666666
2020-02,9042.192758620691
2020-03,8682.166774193547
2020-04,8140.243333333334
2020-05,8164.976451612903
2020-06,8165.173666666667
2020-07,8070.952903225807
2020-08,8029.195161290322
2020-09,8011.663333333333
2020-10,7996.874516129033
2020-11,7998.496
2020-12,8008.652903225806
2021-01,8082.4003225806455
2021-02,8184.483214285714
2021-03,8305.762580645162
2021-04,8380.492333333334
2021-05,8367.285483870968
2021-06,8352.056333333334
2021-07,8366.02870967742
2021-08,8387.839032258064
2021-09,8495.040333333332
2021-10,8551.07870967742
2021-11,8531.725333333334
2021-12,8668.276129032258
2022-01,8822.114193548387
2022-02,8847.829285714286
2022-03,8830.495806451612
2022-04,8842.347666666667
2022-05,8817.714193548387
2022-06,8868.223
2022-07,9005.37935483871
2022-08,8984.053548387095
2022-09,8982.347666666667
2022-10,8990.620967741936
2022-11,8985.635
2022-12,8988.524838709678
2023-01,9023.935483870968
2023-02,9045.253928571428
2023-03,9019.185806451613
2023-04,9219.935666666666
2023-05,8976.722258064516
2023-06,9013.618666666667
2023-07,8985.566129032257
2023-08,9000.925483870968
2023-09,9108.924666666666
2023-10,9107.101290322582
2023-11,9106.010333333334
2023-12,9093.746451612904
2024-01,9089.692903225807
2024-02,9172.974827586208
