Date;Producto ;Cantidad;Cantidad_prom;Precio;Total_Venta;Kilometraje
26/06/2019;Diesel;3332,90;15,56;8744,95;29073844,00;103974,97
27/06/2019;Diesel;3870,46;15,65;8745,29;33888863,00;97443,41
28/06/2019;Diesel;3457,39;16,45;8754,47;30192598,00;124867,33
29/06/2019;Diesel;3597,64;15,41;8739,55;31456290,89;101735,65
30/06/2019;Diesel;736,14;33,83;8823,09;6517985,00;105142,57
01/07/2019;Diesel;1270,84;13,38;8634,78;11008014,00;84558,49
02/07/2019;Diesel;3576,05;15,64;8773,21;31452126,00;115551,28
03/07/2019;Diesel;3781,04;15,95;8770,02;33073396,00;97775,93
04/07/2019;Diesel;4309,95;17,40;8775,48;37842023,00;119847,93
05/07/2019;Diesel;3623,12;16,27;8756,26;31608804,00;99819,26
06/07/2019;Diesel;3599,29;15,47;8776,79;31607847,00;112544,24
07/07/2019;Diesel;679,17;37,73;8372,67;5712784,00;100022,94
08/07/2019;Diesel;3325,13;15,26;8749,00;29122264,00;154988,11
09/07/2019;Diesel;3291,64;15,01;8784,88;28983503,04;105785,79
10/07/2019;Diesel;3457,40;15,92;8791,16;30354836,00;99401,57
11/07/2019;Diesel;4200,79;17,17;8798,91;37001779,00;100438,58
12/07/2019;Diesel;3458,10;15,03;8805,69;30380857,00;124561,29
13/07/2019;Diesel;3701,46;16,53;8795,85;32585322,00;107972,19
14/07/2019;Diesel;427,12;28,47;8557,66;3692922,00;93306,53
15/07/2019;Diesel;2964,77;15,03;8792,97;26055507,00;102910,21
16/07/2019;Diesel;4043,28;16,72;8888,04;35983976,00;112010,13
17/07/2019;Diesel;3544,69;15,45;8880,33;31443150,00;102748,48
18/07/2019;Diesel;4215,88;17,07;8877,90;37229207,00;109203,55
19/07/2019;Diesel;3704,12;15,71;8889,64;32880395,60;107127,19
20/07/2019;Diesel;2641,10;15,26;8904,27;23556823,00;86993,10
21/07/2019;Diesel;641,61;33,77;8778,01;5640864,00;111680,05
22/07/2019;Diesel;3464,06;15,90;8902,07;30766466,00;97100,38
23/07/2019;Diesel;3701,53;15,59;8876,99;32801787,00;99973,15
24/07/2019;Diesel;3430,82;16,28;8902,59;30493994,00;101180,99
25/07/2019;Diesel;4027,52;16,60;8889,53;35698475,00;116889,20
26/07/2019;Diesel;3535,13;16,64;8901,87;31419944,00;97206,18
27/07/2019;Diesel;3535,49;16,36;8882,69;31384602,00;113302,94
28/07/2019;Diesel;389,39;27,81;8873,65;3438766,00;80921,36
29/07/2019;Diesel;3441,49;16,13;8889,87;30484481,00;103069,07
30/07/2019;Diesel;3699,79;15,77;8868,29;32784587,00;116055,38
31/07/2019;Diesel;3356,04;15,73;8877,72;29743919,00;98391,08
01/08/2019;Diesel;7167,96;16,13;8765,78;62974865,00;106050,07
02/08/2019;Diesel;6919,34;16,77;8776,51;60571028,00;105053,06
03/08/2019;Diesel;7700,20;16,99;8790,71;67981080,00;117884,28
04/08/2019;Diesel;1216,45;22,53;8823,33;10758058,00;120749,33
05/08/2019;Diesel;6095,70;15,08;8760,90;53352970,00;101979,12
06/08/2019;Diesel;7681,18;16,99;8790,65;67626016,00;111121,18
07/08/2019;Diesel;5579,44;15,23;8746,94;48757674,08;101946,47
08/08/2019;Diesel;7998,07;16,45;8762,38;70238694,00;106220,27
09/08/2019;Diesel;7208,27;16,57;8779,28;63291266,00;107631,17
10/08/2019;Diesel;7639,54;17,48;8789,06;67444148,00;103377,18
11/08/2019;Diesel;1472,60;21,04;8811,45;13001732,00;134158,69
12/08/2019;Diesel;6126,49;14,65;8733,80;53501040,00;153166,80
13/08/2019;Diesel;7932,54;17,96;8772,61;69746482,00;111590,08
14/08/2019;Diesel;7474,95;15,82;8870,15;66277012,00;96964,25
15/08/2019;Diesel;7657,23;16,88;8858,57;67630428,00;106669,43
16/08/2019;Diesel;6593,11;15,67;8890,91;58677230,00;121749,84
17/08/2019;Diesel;6948,08;15,98;8877,18;61588798,00;113871,18
18/08/2019;Diesel;1110,16;42,70;8985,62;9966406,00;138896,08
19/08/2019;Diesel;1887,71;15,22;8900,13;16680872,00;91653,84
20/08/2019;Diesel;7641,46;16,30;8880,21;67832920,00;105930,15
21/08/2019;Diesel;6796,99;14,91;8874,13;60263022,00;125975,94
22/08/2019;Diesel;7819,70;17,04;8879,92;69145602,00;112735,14
23/08/2019;Diesel;7017,08;16,05;8882,53;62216112,00;103763,26
24/08/2019;Diesel;7587,98;16,84;8898,74;67138320,00;111007,23
25/08/2019;Diesel;903,71;21,52;8869,19;8014526,00;262673,43
26/08/2019;Diesel;6057,34;15,67;8912,50;53861240,00;100811,36
27/08/2019;Diesel;7226,17;15,55;8891,21;64244216,00;115380,28
28/08/2019;Diesel;6448,19;14,89;8902,29;57392092,00;102203,69
29/08/2019;Diesel;8257,60;16,89;8905,73;73348742,00;105983,85
30/08/2019;Diesel;6759,05;16,31;8892,90;60067966,00;101430,28
